Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
175;RL;1132;3;0.57
176;RL;1134;3;0.64
176;RL;1140;2;0.43
177;RL;1141;3;0.61
177;RL;1141;3;0.68
178;RL;1143;3;0.79
178;RL;1148;4;0.71
179;RL;1152;4;0.61
179;RL;1155;4;0.71
180;RL;1158;4;0.64
180;RL;1167;3;0.43
181;RL;1169;3;0.54
181;RL;1170;3;0.5
182;RL;1173;3;0.57
182;RL;1177;5;0.54
183;RL;1182;2;0.39
183;RL;1183;4;0.57
184;RL;1185;3;0.54
184;RL;1190;4;0.57
185;RL;1191;4;0.61
185;RL;1191;5;0.64
186;RL;1193;5;0.82
186;RL;1196;6;0.71
187;RL;1198;6;0.86
187;RL;1205;3;0.68
188;RL;1209;3;0.54
188;RL;1213;3;0.61
189;RL;1214;4;0.64
189;RL;1215;4;0.68
190;RL;1217;4;0.82
190;RL;1223;4;0.64
191;RL;1230;3;0.61
191;RL;1231;3;0.61
192;RL;1234;3;0.64
192;RL;1237;3;0.68
193;RL;1237;4;0.71
193;RL;1237;5;0.89
194;RL;1242;6;0.79
194;RL;1246;6;0.68
195;RL;1255;3;0.57
195;RL;1257;3;0.54
196;RL;1262;3;0.5
196;RL;1262;3;0.64
